epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.77279,3.56729,5.41093,0.02285,0.00021,0.02116,4e-05,1e-05,4.02506,3.78127,0.03612,0.0081,0.0027,0.0081,0.0027,0.0081,0.0027,0.0081,0.0027
2,12.1375,2.82251,5.12666,0.01647,0.00089,0.01518,0.00016,3e-05,3.73969,3.77547,0.03135,0.0164918,0.00549728,0.0164918,0.00549728,0.0164918,0.00549728,0.0164918,0.00549728
3,15.3085,2.50199,4.69958,0.01376,0.00434,0.1939,0.00618,0.00237,2.50802,3.68805,0.01762,0.0248753,0.00829178,0.0248753,0.00829178,0.0248753,0.00829178,0.0248753,0.00829178
4,18.3198,2.36184,4.22771,0.01233,0.76986,0.05288,0.04347,0.015,2.10101,3.23616,0.01361,0.0299555,0.00998515,0.0299555,0.00998515,0.0299555,0.00998515,0.0299555,0.00998515
5,21.2667,2.19528,3.83717,0.01087,0.51252,0.07284,0.05148,0.01615,2.02433,3.30198,0.01299,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
6,24.2032,2.10449,3.6299,0.01055,0.42355,0.14936,0.0955,0.03635,1.91899,3.21045,0.01215,0.0299258,0.00997525,0.0299258,0.00997525,0.0299258,0.00997525,0.0299258,0.00997525
7,27.1537,2.03329,3.46035,0.0106,0.445,0.1915,0.13224,0.0546,1.85638,3.10575,0.01205,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703,0.0299109,0.0099703
8,30.0905,1.97686,3.28179,0.01001,0.48459,0.2077,0.14569,0.06342,1.79067,2.85906,0.01124,0.0298961,0.00996535,0.0298961,0.00996535,0.0298961,0.00996535,0.0298961,0.00996535
9,33.0565,1.93415,3.02286,0.00991,0.36472,0.25416,0.21002,0.09415,1.79485,2.64379,0.01115,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
10,36.0147,1.93252,2.76526,0.00912,0.52658,0.25628,0.23428,0.10682,1.82273,2.56238,0.0112,0.0298663,0.00995545,0.0298663,0.00995545,0.0298663,0.00995545,0.0298663,0.00995545
11,38.9477,1.90931,2.6783,0.00952,0.2558,0.30142,0.23972,0.108,1.85859,2.47388,0.01187,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505,0.0298515,0.0099505
12,41.8837,1.88979,2.578,0.00938,0.3231,0.33994,0.30252,0.14444,1.78913,2.19748,0.01103,0.0298367,0.00994555,0.0298367,0.00994555,0.0298367,0.00994555,0.0298367,0.00994555
13,44.8623,1.84691,2.4601,0.0092,0.33412,0.35306,0.30886,0.15413,1.73189,2.14208,0.01077,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
14,47.7943,1.83317,2.36635,0.00902,0.3799,0.34861,0.31425,0.15689,1.79367,2.07023,0.01113,0.0298069,0.00993565,0.0298069,0.00993565,0.0298069,0.00993565,0.0298069,0.00993565
15,50.7384,1.83746,2.27487,0.00898,0.37046,0.41084,0.34606,0.1722,1.74515,2.06667,0.01112,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
16,53.6808,1.84006,2.21085,0.00916,0.37617,0.42617,0.35958,0.18818,1.74879,2.05929,0.01065,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575
17,56.6013,1.82157,2.1328,0.00871,0.48829,0.40781,0.41969,0.22016,1.72875,1.92185,0.01055,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
18,59.5316,1.81818,2.09225,0.00899,0.42531,0.42234,0.3936,0.20586,1.74782,1.89177,0.01084,0.0297476,0.00991585,0.0297476,0.00991585,0.0297476,0.00991585,0.0297476,0.00991585
